SBC Number,Lowest WDER,Best WDER Model,Lowest cpWER,Best cpWER Model
SBC005,0.032489451476793246,dlm_500,0.20816173717708725,dlm_500
SBC006,0.0754680563597761,dlm_500,0.29748726058689157,dlm_500
SBC007,0.047330960854092524,dlm_adapt,0.20959087860496312,dlm_adapt
SBC009,0.07192575406032482,dlm_500,0.317864476386037,dlm_500
SBC017,0.07352941176470588,dlm_500,0.31391752577319587,dlm_500
SBC022,0.09802028005794303,dlm_adapt,0.3682730923694779,dlm_20
SBC024,0.19297423887587822,baseline,0.48674010607915136,dlm_50
SBC028,0.45302276890866267,dlm_adapt,0.7703703703703704,dlm_adapt
SBC029,0.09613889608706919,dlm_50,0.3749462827675118,dlm_50
SBC034,0.078743961352657,dlm_500,0.4020537124802528,dlm_500
SBC041,0.02216278181123424,baseline,0.22130059721300596,baseline
SBC043,0.04831568816169394,baseline,0.3131840377167873,dlm_20
SBC044,0.01895322552599548,dlm_adapt,0.1567994837877077,dlm_adapt
SBC045,0.4721694270974749,dlm_50,0.9674520281758562,dlm_500
SBC047,0.0743756786102063,dlm_adapt,0.2789132002885309,dlm_adapt
SBC058,0.30344827586206896,baseline,0.6734397677793904,dlm_50
SBC060,0.028741328047571853,baseline,0.3866976024748647,baseline
